cluster ID,ADM2_TH,area_sqkm,days_ago,landcover_type,lat,lon,temperature_k
243,ศรีสวัสดิ์,2.164256,3,forest/trees,14.6369246606225,99.1942194606879,353.149993896484
244,ศรีสวัสดิ์,4.996919953125,4,forest/trees,14.9889519625868,99.1971784383974,343.309997558594
245,ศรีสวัสดิ์,1.352264265625,8,forest/trees,14.7026139657737,99.2076941899497,333.190002441406
246,เมืองกาญจนบุรี,1.08406728125,7,forest/trees,14.2280508445849,99.2123261281334,310.5
247,ศรีสวัสดิ์,1.75881084375,8,forest/trees,14.5917065787728,99.2083420134719,345.739990234375
248,เมืองกาญจนบุรี,7.045171734375,6,forest/trees,14.2696087235342,99.2161158957383,343.489990234375
249,ศรีสวัสดิ์,1.218566875,4,forest/trees,14.4185217571709,99.214244405563,331.420013427734
250,ศรีสวัสดิ์,1.487825734375,3,forest/trees,14.652083731042,99.2127472134228,333.720001220703
251,ศรีสวัสดิ์,1.2158206875,3,forest/trees,14.9249469985933,99.2149930016331,336.100006103516
252,ศรีสวัสดิ์,11.092752828125,3,forest/trees,14.6178217670044,99.2010800697937,346.149993896484
253,ด่านมะขามเตี้ย,1.900155140625,7,forest/trees,13.852021681123,99.2245376015269,336.459991455078
254,ศรีสวัสดิ์,0.8123679375,7,shrub&crub,14.4213289924338,99.2312749661578,309.089996337891
255,ศรีสวัสดิ์,1.218110671875,9,forest/trees,14.5038617091623,99.244188248367,345.299987792969
256,ศรีสวัสดิ์,1.21654209375,6,forest/trees,14.7935683882908,99.2486798247876,346.109985351563
257,ศรีสวัสดิ์,1.21754878125,4,forest/trees,14.6082908609411,99.2554171894185,367
258,เมืองกาญจนบุรี,6.774659671875,4,forest/trees,14.2540402286486,99.2621994698136,347.309997558594
259,ศรีสวัสดิ์,0.94714590625,8,forest/trees,14.5693103941481,99.2589462851776,338.279998779297
260,ศรีสวัสดิ์,3.111883015625,8,forest/trees,14.5814878668661,99.2528784723112,340.350006103516
261,ศรีสวัสดิ์,3.65373115625,6,forest/trees,14.5411667466555,99.2577877436405,348.029998779297
262,ศรีสวัสดิ์,12.727857859375,3,forest/trees,14.4076750779424,99.243387887675,353.239990234375
263,ศรีสวัสดิ์,3.38389540625,6,forest/trees,14.4867488029998,99.2704190546633,343.820007324219
